date, price
12/1/2001,72.90 
15/1/2001,72.54 
16/1/2001,73.97 
17/1/2001,73.97 
18/1/2001,74.33 
19/1/2001,75.05 
22/1/2001,75.05 
23/1/2001,73.26 
29/1/2001,73.62 
30/1/2001,71.83 
31/1/2001,73.97 
1/2/2001,73.97 
2/2/2001,73.26 
5/2/2001,72.54 
6/2/2001,72.90 
7/2/2001,73.62 
8/2/2001,72.19 
9/2/2001,71.47 
12/2/2001,70.22 
13/2/2001,70.04 
14/2/2001,71.11 
15/2/2001,70.04 
16/2/2001,69.86 
19/2/2001,70.04 
20/2/2001,69.68 
21/2/2001,69.86 
22/2/2001,68.26 
23/2/2001,67.18 
26/2/2001,67.54 
27/2/2001,66.29 
28/2/2001,67.54 
1/3/2001,65.93 
2/3/2001,63.07 
5/3/2001,63.61 
6/3/2001,66.29 
7/3/2001,66.11 
8/3/2001,66.29 
9/3/2001,65.93 
12/3/2001,63.61 
13/3/2001,62.90 
15/3/2001,64.32 
16/3/2001,63.43 
19/3/2001,63.97 
20/3/2001,62.18 
21/3/2001,61.64 
22/3/2001,58.79 
23/3/2001,57.53 
26/3/2001,58.79 
27/3/2001,56.28 
28/3/2001,57.00 
29/3/2001,57.36 
30/3/2001,58.43 
2/4/2001,58.79 
3/4/2001,58.79 
4/4/2001,57.53 
5/4/2001,57.53 
6/4/2001,57.18 
9/4/2001,55.57 
10/4/2001,54.68 
11/4/2001,56.46 
12/4/2001,58.43 
13/4/2001,58.43 
16/4/2001,58.43 
17/4/2001,57.53 
18/4/2001,58.96 
19/4/2001,62.72 
20/4/2001,61.29 
23/4/2001,62.18 
24/4/2001,62.36 
25/4/2001,61.82 
26/4/2001,61.82 
27/4/2001,62.00 
30/4/2001,62.00 
1/5/2001,62.00 
2/5/2001,63.79 
3/5/2001,63.97 
4/5/2001,63.25 
7/5/2001,65.22 
8/5/2001,64.86 
9/5/2001,65.22 
10/5/2001,66.29 
11/5/2001,66.65 
14/5/2001,64.86 
15/5/2001,64.50 
16/5/2001,64.86 
17/5/2001,66.11 
18/5/2001,66.11 
21/5/2001,66.29 
22/5/2001,66.11 
23/5/2001,65.75 
24/5/2001,67.18 
25/5/2001,66.11 
28/5/2001,66.11 
29/5/2001,64.50 
30/5/2001,63.07 
31/5/2001,60.93 
1/6/2001,61.47 
4/6/2001,61.47 
5/6/2001,63.07 
6/6/2001,64.32 
7/6/2001,65.04 
8/6/2001,64.50 
11/6/2001,63.43 
12/6/2001,63.07 
13/6/2001,62.54 
14/6/2001,61.47 
15/6/2001,61.29 
18/6/2001,61.11 
19/6/2001,60.93 
20/6/2001,60.57 
21/6/2001,62.36 
22/6/2001,60.93 
25/6/2001,60.93 
26/6/2001,60.75 
27/6/2001,59.86 
28/6/2001,58.96 
29/6/2001,60.75 
2/7/2001,60.75 
3/7/2001,60.75 
4/7/2001,60.57 
5/7/2001,59.50 
6/7/2001,59.50 
9/7/2001,58.96 
