date,price
24/11/2000,63.9673
27/11/2000,64.681999
28/11/2000,65.039398
29/11/2000,64.146004
30/11/2000,62.716499
1/12/2000,63.073898
4/12/2000,63.073898
5/12/2000,64.503304
6/12/2000,68.791603
7/12/2000,69.863701
8/12/2000,70.5784
11/12/2000,70.2211
12/12/2000,71.293098
13/12/2000,72.5439
14/12/2000,73.615997
15/12/2000,70.399696
18/12/2000,71.293098
19/12/2000,72.186501
20/12/2000,71.471802
21/12/2000,71.114403
22/12/2000,70.5784
25/12/2000,null
26/12/2000,null
27/12/2000,69.863701
28/12/2000,70.399696
29/12/2000,71.293098
1/1/2001,71.293098
2/1/2001,71.114403
3/1/2001,70.042397
4/1/2001,73.973297
5/1/2001,74.330704
8/1/2001,74.688004
9/1/2001,73.615997
10/1/2001,73.615997
11/1/2001,70.5784
12/1/2001,72.901299
15/1/2001,72.5439
16/1/2001,73.973297
17/1/2001,73.973297
18/1/2001,74.330704
19/1/2001,75.045403
22/1/2001,75.045403
23/1/2001,73.258598
24/1/2001,null
25/1/2001,null
26/1/2001,null
29/1/2001,73.615997
30/1/2001,71.829201
31/1/2001,73.973297
1/2/2001,73.973297
2/2/2001,73.258598
5/2/2001,72.5439
6/2/2001,72.901299
7/2/2001,73.615997
8/2/2001,72.186501
9/2/2001,71.471802
12/2/2001,70.2211
13/2/2001,70.042397
14/2/2001,71.114403
15/2/2001,70.042397
16/2/2001,69.863701
19/2/2001,70.042397
20/2/2001,69.684998
21/2/2001,69.863701
22/2/2001,68.2556
23/2/2001,67.183502
26/2/2001,67.540901
27/2/2001,66.2901
28/2/2001,67.540901
1/3/2001,65.932701
2/3/2001,63.073898
5/3/2001,63.609901
6/3/2001,66.2901
7/3/2001,66.111397
8/3/2001,66.2901
9/3/2001,65.932701
12/3/2001,63.609901
13/3/2001,62.895199
14/3/2001,null
15/3/2001,64.3246
16/3/2001,63.431198
19/3/2001,63.9673
20/3/2001,62.1805
21/3/2001,61.644402
22/3/2001,58.785599
23/3/2001,57.534801
26/3/2001,58.785599
27/3/2001,56.284
28/3/2001,56.998798
29/3/2001,57.356098
30/3/2001,58.4282
2/4/2001,58.785599
3/4/2001,58.785599
4/4/2001,57.534801
5/4/2001,57.534801
6/4/2001,57.177399
9/4/2001,55.569302
10/4/2001,54.6759
11/4/2001,56.4627
12/4/2001,58.4282
13/4/2001,58.4282
16/4/2001,58.4282
17/4/2001,57.534801
18/4/2001,58.964199
19/4/2001,62.716499
20/4/2001,61.287102
23/4/2001,62.1805
24/4/2001,62.3592
25/4/2001,61.823101
26/4/2001,61.823101
27/4/2001,62.001801
30/4/2001,62.001801
1/5/2001,62.001801
2/5/2001,63.788601
3/5/2001,63.9673
4/5/2001,63.252499
7/5/2001,65.218002
8/5/2001,64.860703
9/5/2001,65.218002
10/5/2001,66.2901
11/5/2001,66.647499
14/5/2001,64.860703
15/5/2001,64.503304
16/5/2001,64.860703
17/5/2001,66.111397
18/5/2001,66.111397
21/5/2001,66.2901
22/5/2001,66.111397
23/5/2001,65.754097
24/5/2001,67.183502
25/5/2001,66.111397
28/5/2001,66.111397
29/5/2001,64.503304
30/5/2001,63.073898
31/5/2001,60.929699
1/6/2001,61.465801
4/6/2001,61.465801
5/6/2001,63.073898
6/6/2001,64.3246
7/6/2001,65.039398
8/6/2001,64.503304
11/6/2001,63.431198
12/6/2001,63.073898
13/6/2001,62.5378
14/6/2001,61.465801
15/6/2001,61.287102
18/6/2001,61.108398
19/6/2001,60.929699
20/6/2001,60.572399
21/6/2001,62.3592
22/6/2001,60.929699
25/6/2001,60.929699
26/6/2001,60.750999
27/6/2001,59.857601
28/6/2001,58.964199
29/6/2001,60.750999
2/7/2001,60.750999
3/7/2001,60.750999
4/7/2001,60.572399
5/7/2001,59.500301
6/7/2001,59.500301
9/7/2001,58.964199
10/7/2001,58.964199
11/7/2001,57.8922
12/7/2001,57.713501
13/7/2001,57.534801
16/7/2001,57.356098
17/7/2001,57.356098
18/7/2001,57.713501
19/7/2001,56.641399
20/7/2001,56.820099
23/7/2001,56.998798
24/7/2001,56.1054
25/7/2001,56.1054
26/7/2001,53.961201
27/7/2001,53.961201
30/7/2001,53.425201
31/7/2001,55.212002
1/8/2001,56.998798
2/8/2001,56.641399
3/8/2001,55.748001
6/8/2001,55.748001
7/8/2001,54.1399
8/8/2001,52.710499
9/8/2001,50.3876
10/8/2001,50.3876
13/8/2001,48.0648
14/8/2001,49.851601
15/8/2001,50.744999
16/8/2001,50.209
17/8/2001,51.459702
20/8/2001,49.672901
21/8/2001,48.958199
22/8/2001,48.4221
23/8/2001,49.315601
24/8/2001,50.209
27/8/2001,51.280998
28/8/2001,52.1744
29/8/2001,52.889099
30/8/2001,53.425201
31/8/2001,51.459702
3/9/2001,51.280998
4/9/2001,51.459702
5/9/2001,50.744999
6/9/2001,49.315601
7/9/2001,46.635399
10/9/2001,46.635399
11/9/2001,46.635399
12/9/2001,41.632301
13/9/2001,42.5257
14/9/2001,42.1684
17/9/2001,40.0242
18/9/2001,39.309502
19/9/2001,40.738899
20/9/2001,39.130798
21/9/2001,37.344002
24/9/2001,37.344002
25/9/2001,38.773499
26/9/2001,39.845501
27/9/2001,41.632301
28/9/2001,41.632301
1/10/2001,41.632301
2/10/2001,41.632301
3/10/2001,43.9552
4/10/2001,44.491199
5/10/2001,45.205898
8/10/2001,43.776501
9/10/2001,45.384602
10/10/2001,44.848598
11/10/2001,46.992699
12/10/2001,46.635399
15/10/2001,46.278
16/10/2001,46.813999
17/10/2001,48.4221
18/10/2001,46.635399
